FacID,SrcKey,DTSKey,Site,FileNumber,AppID,Country,D,U,Call,Ch,FromCh,City,St,Lat,Lon,DTSDist,RCAMSL,HAAT,ERP,DA,AntID,Rot,Tilt,Offset,Mask,Type,InCountry,Area,Population,Area,Population,Area,Population,,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV
11034,2162,,0,BLANK0000001589,2001259,US,1,1,K20DN-D,20,,WICHITA FALLS,TX,33.889709,98.558584,,458.000000,0.000000,5.00,DA,23503,0.000000,1.8,0,1,3,US,5207.0,151255,5207.0,151255,5207.0,151255,,1.000000,0.990000,0.990000,0.970000,0.940000,0.910000,0.850000,0.780000,0.730000,0.680000,0.660000,0.650000,0.650000,0.660000,0.680000,0.690000,0.700000,0.710000,0.720000,0.700000,0.690000,0.670000,0.650000,0.640000,0.640000,0.650000,0.660000,0.690000,0.740000,0.790000,0.850000,0.890000,0.930000,0.960000,0.980000,0.990000,,,,,,,,,,,,,
11910,1690,,0,BLCDT20021127AGL,619048,US,1,1,KOKI-TV,22,,TULSA,OK,36.026767,95.679148,,592.400000,400.000000,1000,DA,46198,0.000000,1.2,0,0,1,US,35778.9,1337277,35778.9,1337277,35778.9,1337277,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,,,,
14885,2029,,0,BLDTA20110128AAA,1415183,US,1,1,KUOK-CD,36,,OKLAHOMA CITY,OK,35.415006,97.510288,,540.700000,0.000000,7.33,DA,101224,0.000000,0.8,0,2,3,US,5364.5,1127876,5364.5,1127876,5364.5,1127876,,0.965000,0.935000,0.895000,0.845000,0.795000,0.745000,0.695000,0.650000,0.620000,0.605000,0.605000,0.615000,0.630000,0.650000,0.665000,0.670000,0.670000,0.665000,0.650000,0.630000,0.615000,0.605000,0.605000,0.620000,0.650000,0.695000,0.745000,0.795000,0.845000,0.895000,0.935000,0.965000,0.990000,1.000000,1.000000,0.990000,,,,,,,,,,,,,
17433,428,,0,BLCDT20100924ABM,1390493,US,1,1,KAZD,39,,LAKE DALLAS,TX,32.587636,96.966671,,700.800000,509.300000,1000,ND,,,0.7,0,0,1,US,40824.3,6742520,40824.3,6742520,40824.3,6742520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18283,960,,0,BLCDT20090424ABE,1309742,US,1,1,KODE-TV,43,,JOPLIN,MO,37.077005,94.537726,,565.400000,268.600000,1000,ND,,,0.8,0,0,1,US,25259.0,592111,25259.0,592111,25259.0,592111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23422,182,,0,BLCDT20121115ABM,1527712,US,1,1,KTVT,19,,FORT WORTH,TX,32.543470,96.959170,,737.000000,533.900000,1000,ND,,,0.8,0,0,1,US,45252.4,6908534,45252.4,6908534,45252.4,6908534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24485,1284,,0,BLCDT20060817ADB,1144477,US,1,1,KGEB,49,,TULSA,OK,36.043151,95.953327,,395.000000,182.000000,50.0,DA,75819,0.000000,0.7,0,0,1,US,12964.1,973825,12964.1,973825,12964.1,973825,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,,,,
29557,1277,,0,BLCDT20060915ANF,1144035,US,1,1,KNWA-TV,50,,ROGERS,AR,36.413350,93.954866,,658.400000,267.000000,1000,ND,,,0.8,0,0,1,US,23075.4,793758,23075.4,793758,23075.4,793758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29560,976,,0,BLCDT20090331AEC,1302647,US,1,1,KFTA-TV,27,,FORT SMITH,AR,35.710082,94.137704,,723.500000,305.000000,600,DA,91306,0.000000,0.8,0,0,1,US,22109.8,800931,22109.8,800931,22109.8,800931,,0.997000,0.986000,0.951000,0.921000,0.863000,0.744000,0.542000,0.289000,0.214000,0.384000,0.465000,0.384000,0.214000,0.289000,0.542000,0.744000,0.863000,0.921000,0.957000,0.986000,0.997000,0.973000,0.919000,0.864000,0.845000,0.875000,0.932000,0.981000,1.000000,0.981000,0.932000,0.875000,0.845000,0.864000,0.919000,0.973000,,,,,,,,,,,,,
31368,1937,,0,BLDTA20130110ABI,1536862,US,1,1,KUOT-CD,19,,OKLAHOMA CITY,OK,35.369508,97.461703,,578.700000,0.000000,15.0,DA,17757,330.000000,0.0,0,2,3,US,7385.8,1182890,7385.8,1182890,7385.8,1182890,,1.000000,0.990000,0.980000,0.940000,0.900000,0.860000,0.800000,0.740000,0.680000,0.620000,0.580000,0.560000,0.540000,0.540000,0.540000,0.550000,0.560000,0.560000,0.560000,0.560000,0.560000,0.550000,0.540000,0.540000,0.540000,0.560000,0.580000,0.620000,0.680000,0.740000,0.800000,0.860000,0.900000,0.940000,0.980000,0.990000,,,,,,,,,,,,,
