FacID,SrcKey,DTSKey,Site,FileNumber,AppID,Country,D,U,Call,Ch,FromCh,City,St,Lat,Lon,DTSDist,RCAMSL,HAAT,ERP,DA,AntID,Rot,Tilt,Offset,Mask,Type,InCountry,Area,Population,Area,Population,Area,Population,,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV
12508,476,,0,BLCDT20100615ACT,1373141,US,1,1,KOCO-TV,7,,OKLAHOMA CITY,OK,35.562558,97.490317,,803.000000,451.000000,65.7,ND,,,1.0,0,0,1,US,44287.3,1704987,44287.3,1704987,44287.3,1704987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14885,2029,,0,BLDTA20110128AAA,1415183,US,1,1,KUOK-CD,36,,OKLAHOMA CITY,OK,35.415006,97.510288,,540.700000,0.000000,7.33,DA,101224,0.000000,0.8,0,2,3,US,5364.5,1127876,5364.5,1127876,5364.5,1127876,,0.965000,0.935000,0.895000,0.845000,0.795000,0.745000,0.695000,0.650000,0.620000,0.605000,0.605000,0.615000,0.630000,0.650000,0.665000,0.670000,0.670000,0.665000,0.650000,0.630000,0.615000,0.605000,0.605000,0.620000,0.650000,0.695000,0.745000,0.795000,0.845000,0.895000,0.935000,0.965000,0.990000,1.000000,1.000000,0.990000,,,,,,,,,,,,,
24485,1284,,0,BLCDT20060817ADB,1144477,US,1,1,KGEB,49,,TULSA,OK,36.043151,95.953327,,395.000000,182.000000,50.0,DA,75819,0.000000,0.7,0,0,1,US,12964.1,973825,12964.1,973825,12964.1,973825,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,,,,
25382,178,,0,BMLCDT20121205ADH,1531568,US,1,1,KWTV-DT,39,,OKLAHOMA CITY,OK,35.597834,97.489762,,827.000000,478.000000,1000,DA,99012,0.000000,0.8,0,0,1,US,38024.6,1626261,38024.6,1626261,38024.6,1626261,,0.881000,0.865000,0.829000,0.806000,0.824000,0.888000,0.959000,0.987000,0.967000,0.950000,0.951000,0.940000,0.905000,0.868000,0.854000,0.877000,0.929000,0.979000,1.000000,0.979000,0.929000,0.877000,0.854000,0.868000,0.905000,0.940000,0.951000,0.950000,0.967000,0.987000,0.959000,0.888000,0.824000,0.806000,0.829000,0.865000,,,,,,,,,,,,,
29560,976,,0,BLCDT20090331AEC,1302647,US,1,1,KFTA-TV,27,,FORT SMITH,AR,35.710082,94.137704,,723.500000,305.000000,600,DA,91306,0.000000,0.8,0,0,1,US,22109.8,800931,22109.8,800931,22109.8,800931,,0.997000,0.986000,0.951000,0.921000,0.863000,0.744000,0.542000,0.289000,0.214000,0.384000,0.465000,0.384000,0.214000,0.289000,0.542000,0.744000,0.863000,0.921000,0.957000,0.986000,0.997000,0.973000,0.919000,0.864000,0.845000,0.875000,0.932000,0.981000,1.000000,0.981000,0.932000,0.875000,0.845000,0.864000,0.919000,0.973000,,,,,,,,,,,,,
31368,1937,,0,BLDTA20130110ABI,1536862,US,1,1,KUOT-CD,19,,OKLAHOMA CITY,OK,35.369508,97.461703,,578.700000,0.000000,15.0,DA,17757,330.000000,0.0,0,2,3,US,7385.8,1182890,7385.8,1182890,7385.8,1182890,,1.000000,0.990000,0.980000,0.940000,0.900000,0.860000,0.800000,0.740000,0.680000,0.620000,0.580000,0.560000,0.540000,0.540000,0.540000,0.550000,0.560000,0.560000,0.560000,0.560000,0.560000,0.550000,0.540000,0.540000,0.540000,0.560000,0.580000,0.620000,0.680000,0.740000,0.800000,0.860000,0.900000,0.940000,0.980000,0.990000,,,,,,,,,,,,,
31369,2018,,0,BLDTA20110506AAV,1426442,US,1,1,KUTU-CD,25,,TULSA,OK,36.150287,95.990580,,355.900000,0.000000,7.90,DA,103782,70.000000,-1.0,0,2,3,US,4866.3,794506,4866.3,794506,4866.3,794506,,1.000000,0.980000,0.960000,0.930000,0.930000,0.940000,0.970000,0.990000,0.980000,0.950000,0.870000,0.770000,0.630000,0.470000,0.350000,0.230000,0.210000,0.220000,0.230000,0.220000,0.210000,0.230000,0.350000,0.470000,0.630000,0.770000,0.870000,0.950000,0.980000,0.990000,0.970000,0.940000,0.930000,0.930000,0.960000,0.980000,,,,,,,,,,,,,
35388,1522,,0,BLCDT20041207ACV,1033693,US,1,1,KOKH-TV,24,,OKLAHOMA CITY,OK,35.549503,97.488650,,827.800000,475.800000,1000,DA,44126,0.000000,0.8,0,0,1,US,37119.6,1622939,37119.6,1622939,37119.6,1622939,,0.985000,0.912000,0.796000,0.669000,0.566000,0.512000,0.522000,0.593000,0.706000,0.833000,0.939000,0.996000,0.985000,0.912000,0.796000,0.669000,0.566000,0.512000,0.522000,0.593000,0.706000,0.833000,0.939000,0.996000,0.985000,0.912000,0.796000,0.669000,0.566000,0.512000,0.522000,0.593000,0.706000,0.833000,0.939000,0.996000,,,,,,,,,,,,,
35434,709,,0,BLCDT20090625ACJ,1318307,US,1,1,KOTV-DT,45,,TULSA,OK,36.020934,95.675815,,748.800000,556.200000,840,ND,,,0.8,0,0,1,US,39733.7,1393298,39733.7,1393298,39733.7,1393298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35645,1300,,0,BLCDT20060707ADG,1135643,US,1,1,KSWO-TV,11,,LAWTON,OK,34.215368,98.720620,,653.000000,327.300000,138,ND,,,0.5,0,0,1,US,40342.1,449101,40342.1,449101,40342.1,449101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
