FacID,Site,Call,Ch,PC,City,St,Lat,Lon,RCAMSL,HAAT,ERP,DA,AntID,Az
62207,,WIYC,19,48,TROY,AL,320337,855702,470.6,344.5,27.6,DA,30182,0
77496,,WVUA,6,6,TUSCALOOSA,AL,332902,864821,586,395,26,ND,,
21258,,WSES,36,33,TUSCALOOSA,AL,332848,872550,792.1,659,319,DA,104562,0
70429,,WVUA-CD,23,23,TUSCALOOSA/NORTHPORT,AL,330936,873054,256.9,0,15,ND,,
68427,,WBMM,18,22,TUSKEGEE,AL,320406,855641,463.8,341,59.1,DA,87249,0
2768,,KETG,13,13,ARKADELPHIA,AR,335426,930647,384.6,314,13.9,ND,,
52420,,KHMF-CA,14,14,BENTONVILLE,AR,362337,941058,476.1,0,10.1,DA,120583,0
86534,,KMYA-DT,18,49,CAMDEN,AR,331615,924215,239.2,183,530,ND,,
92872,,KETZ,10,10,EL DORADO,AR,330441,921330,569.6,538,16.2,DA,92297,0
35692,,KTVE,27,27,EL DORADO,AR,330441,921341,612,582,823,DA,77979,0
38585,,KLMB-LP,36,23,EL DORADO,AR,331222,923914,138,0,0.158,DA,19128,10
81593,,KXNW,25,34,EUREKA SPRINGS,AR,362441,935713,616.3,224.4,57.8,DA,85708,0
2767,,KAFT,9,9,FAYETTEVILLE,AR,354853,940142,1028.7,503,37.9,ND,,
60354,,KHOG-TV,15,15,FAYETTEVILLE,AR,360057,940460,704,266,180,ND,,
52430,,KFFS-CD,36,36,FAYETTEVILLE,AR,360850,941114,470,0,15,ND,,
66469,,KFSM-TV,18,18,FORT SMITH,AR,354949,940925,778,286,550,ND,,
60353,,KHBS,21,21,FORT SMITH,AR,350415,944044,784.2,602,325,DA,44809,0
168154,,KFDF-CD,25,44,FORT SMITH,AR,352650,942155,294,0,10.2,DA,24161,0
29560,,KFTA-TV,27,27,FORT SMITH,AR,354236,940816,723.5,305,600,DA,91306,0
78314,,KWBM,31,31,HARRISON,AR,364218,930346,613.9,339,191,DA,85744,0
608,,KVTH-DT,16,26,HOT SPRINGS,AR,342220,930249,419.6,258,52.6,DA,86084,190
13988,,KAIT,8,8,JONESBORO,AR,355322,905608,608,531,28.2,ND,,
2784,,KVTJ-DT,18,48,JONESBORO,AR,353616,903118,362.8,297,420,ND,,
2769,,KTEJ,20,20,JONESBORO,AR,355414,904614,400.2,310,323,ND,,
2770,,KETS,7,7,LITTLE ROCK,AR,342631,921304,631,547,26.7,ND,,
2787,,KTHV,12,12,LITTLE ROCK,AR,344757,922960,646,518.7,55,DA,68913,0
37005,,KARZ-TV,14,44,LITTLE ROCK,AR,344757,922960,576,448.4,525,DA,92381,0
57545,,KLRA-CD,20,20,LITTLE ROCK,AR,344756,922946,533.9,0,15,ND,,
33543,,KATV,22,22,LITTLE ROCK,AR,344749,922920,640,515,1000,ND,,
11951,,KLRT-TV,30,30,LITTLE ROCK,AR,344757,922930,574,449,1000,DA,40344,0
33440,,KARK-TV,32,32,LITTLE ROCK,AR,344757,922960,602,474,989,DA,111431,0
58267,,KKAP,36,36,LITTLE ROCK,AR,344756,922946,521,394,50,DA,85394,0
2777,,KEMV,13,13,MOUNTAIN VIEW,AR,354847,921725,753.3,426,12.1,DA,105078,0
52423,,KRAH-CD,35,35,PARIS,AR,351807,934543,344,0,1.5,ND,,
607,,KVTN-DT,24,24,PINE BLUFF,AR,343155,920242,424,355.5,725,DA,40413,0
41212,,KASN,34,39,PINE BLUFF,AR,342631,921304,674,590,906,DA,40345,0
29557,,KNWA-TV,33,50,ROGERS,AR,362448,935718,658.4,267,726,ND,,
52432,,KKAF-CD,24,33,SILOAM SPRINGS,AR,360907,943056,452,0,12.4,ND,,
67347,,KWOG,29,39,SPRINGDALE,AR,361107,941750,489.2,114,28.6,DA,78077,0
4585,,KLFI-LP,35,35,TEXARKANA,AR,332548,940509,218,0,0.062,ND,,
52426,,KWNL-CD,31,31,WINSLOW,AR,360850,941114,503,0,15,DA,24161,180
168403,,K04QP-D,4,4,CASAS ADOBES,AZ,321253,1110022,937,0,2,ND,,
81441,,KFTU-DT,36,36,DOUGLAS,AZ,312855,1095734,2207.5,685,5,DA,90566,90
41517,,KFPH-DT,13,13,FLAGSTAFF,AZ,345806,1113037,2651.7,475.5,33,ND,,
24749,,KNAZ-TV,22,22,FLAGSTAFF,AZ,345806,1113031,2631,465,283,DA,96485,0
29464,,KTVW-CD,27,27,FLAGSTAFF/DONEY PARK,AZ,345806,1113037,2636,0,15,DA,104035,340
63927,,KUVE-DT,34,46,GREEN VALLEY,AZ,322454,1104258,2659,1113,137,DA,109722,220
83491,,KDTP,11,11,HOLBROOK,AZ,345505,1100827,1646,54,3.2,DA,86751,0
24753,,KMOH-TV,19,19,KINGMAN,AZ,350157,1142159,1364.5,578.2,25.2,DA,73125,342
35486,,KPNX,12,12,MESA,AZ,332000,1120351,912.6,555,39,ND,,
2728,,KAET,8,8,PHOENIX,AZ,332000,1120352,912,549,40,ND,,
35587,,KSAZ-TV,10,10,PHOENIX,AZ,332003,1120346,915,558,48,DA,97300,0
59440,,KNXV-TV,15,15,PHOENIX,AZ,332000,1120349,879.6,521,458,ND,,
41223,,KPHO-TV,17,17,PHOENIX,AZ,332002,1120343,875,507,1000,DA,67336,0
67868,,KPAZ-TV,20,20,PHOENIX,AZ,332003,1120345,844,489,1000,ND,,
73764,,KPDF-CA,22,41,PHOENIX,AZ,332000,1120347,829.71,0,3.36,DA,95672,30
40993,,KTVK,24,24,PHOENIX,AZ,332001,1120348,867,501,1000,DA,43557,0
