FacID,SrcKey,DTSKey,Site,FileNumber,AppID,Country,D,U,Call,Ch,FromCh,City,St,Lat,Lon,DTSDist,RCAMSL,HAAT,ERP,DA,AntID,Rot,Tilt,Offset,Mask,Type,InCountry,Area,Population,Area,Population,Area,Population,,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV
12499,1840,,0,BLANK0000001047,2000687,US,1,1,WPSG,32,,PHILADELPHIA,PA,40.041778,75.236013,,465.000000,400.000000,800,DA,107152,0.000000,1.0,0,0,1,US,27176.9,9273973,27176.9,9273973,27176.9,9273973,,0.194000,0.278000,0.393000,0.502000,0.599000,0.688000,0.778000,0.873000,0.951000,0.993000,0.998000,0.976000,0.944000,0.918000,0.901000,0.895000,0.908000,0.921000,0.942000,0.974000,0.995000,0.985000,0.940000,0.865000,0.775000,0.684000,0.593000,0.497000,0.392000,0.280000,0.197000,0.184000,0.226000,0.257000,0.227000,0.183000,,,,,,,,,,,,,
13594,486,,0,BLEDT20100513ABG,1368813,US,1,1,WEDW,49,,BRIDGEPORT,CT,41.278985,73.185113,,304.000000,220.000000,170,DA,98009,0.000000,0.8,0,0,1,US,13127.7,5312240,13127.7,5312240,13127.7,5312240,,0.410000,0.400000,0.480000,0.610000,0.770000,0.910000,0.990000,0.990000,0.930000,0.810000,0.640000,0.500000,0.410000,0.410000,0.450000,0.480000,0.480000,0.460000,0.410000,0.400000,0.450000,0.610000,0.770000,0.900000,0.990000,1.000000,0.930000,0.800000,0.630000,0.500000,0.410000,0.400000,0.440000,0.480000,0.490000,0.450000,,,,,,,,,,,,,
13602,801,,0,BLEDT20090618ACA,1318294,US,1,1,WEDH,45,,HARTFORD,CT,41.703710,72.832044,,604.000000,505.000000,490,DA,91370,0.000000,1.0,0,0,1,US,26565.8,4418618,26565.8,4418618,26565.8,4418618,,0.936000,0.917000,0.905000,0.900000,0.899000,0.900000,0.905000,0.917000,0.936000,0.963000,0.988000,1.000000,0.987000,0.940000,0.854000,0.733000,0.588000,0.437000,0.302000,0.218000,0.207000,0.232000,0.245000,0.232000,0.207000,0.218000,0.302000,0.437000,0.588000,0.733000,0.854000,0.940000,0.987000,1.000000,0.988000,0.963000,,,,,,,,,,,,,
13607,800,,0,BLEDT20090618ACB,1318291,US,1,1,WEDN,9,,NORWICH,CT,41.520654,72.167023,,284.000000,192.000000,4.20,DA,91371,0.000000,0.0,0,0,1,US,14316.6,2096938,14316.6,2096938,14316.6,2096938,,0.914000,0.951000,0.975000,0.993000,1.000000,0.996000,0.981000,0.955000,0.920000,0.876000,0.826000,0.771000,0.714000,0.661000,0.615000,0.583000,0.569000,0.571000,0.586000,0.607000,0.627000,0.640000,0.645000,0.641000,0.631000,0.613000,0.592000,0.579000,0.570000,0.579000,0.610000,0.650000,0.699000,0.759000,0.817000,0.869000,,,,,,,,,,,,,
13933,1546,,0,BLCDT20040908ABO,1012150,US,1,1,WYPX-TV,50,,AMSTERDAM,NY,42.984519,74.181797,,432.800000,207.000000,450,DA,38556,0.000000,0.8,0,0,1,US,13593.0,1038446,13593.0,1038446,13593.0,1038446,,0.335000,0.417000,0.533000,0.647000,0.741000,0.812000,0.860000,0.893000,0.917000,0.939000,0.959000,0.977000,0.991000,0.999000,0.999000,0.991000,0.977000,0.959000,0.939000,0.917000,0.893000,0.860000,0.812000,0.741000,0.647000,0.533000,0.417000,0.335000,0.323000,0.372000,0.432000,0.470000,0.470000,0.432000,0.372000,0.323000,,,,,,,,,,,,,
14050,635,,0,BLCDT20090911ABK,1327580,US,1,1,WCCT-TV,20,,WATERBURY,CT,41.703710,72.832044,,615.000000,516.000000,52.0,ND,,,1.0,0,0,1,US,21596.8,4044377,21596.8,4044377,21596.8,4044377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16455,988,,0,BLCDT20090319ADC,1271105,US,1,1,WMDT,47,,SALISBURY,MD,38.501783,75.735377,,311.600000,307.000000,350,DA,87632,0.000000,0.8,0,0,1,US,20032.9,718144,20032.9,718144,20032.9,718144,,0.733000,0.854000,0.940000,0.987000,1.000000,0.988000,0.963000,0.936000,0.917000,0.905000,0.900000,0.899000,0.900000,0.905000,0.917000,0.936000,0.963000,0.988000,1.000000,0.987000,0.940000,0.854000,0.733000,0.588000,0.437000,0.302000,0.218000,0.207000,0.232000,0.245000,0.232000,0.207000,0.218000,0.302000,0.437000,0.588000,,,,,,,,,,,,,
17010,1405,,0,BLCDT20051123AJU,1098840,US,1,1,WYOU,13,,SCRANTON,PA,41.182860,75.873530,,855.000000,471.000000,30.0,DA,71517,0.000000,0.5,0,0,1,US,32397.4,2590127,32397.4,2590127,32397.4,2590127,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,,,,
18795,93,,0,BMPCDT20090709AGX,2001101,US,1,1,WNET,13,,NEWARK,NJ,40.712991,74.013112,,518.200000,507.000000,8.10,DA,1000629,0.000000,2.5,0,0,1,US,28265.6,20145508,28265.6,20145508,28265.6,20145508,,0.946000,0.967000,0.987000,0.997000,1.000000,0.997000,0.992000,0.981000,0.964000,0.944000,0.896000,0.847000,0.800000,0.755000,0.714000,0.707000,0.707000,0.707000,0.707000,0.707000,0.707000,0.707000,0.707000,0.707000,0.707000,0.707000,0.707000,0.707000,0.714000,0.749000,0.787000,0.827000,0.865000,0.891000,0.915000,0.934000,,,,,,,,,,,,,
22206,1138,,0,BLCDT20080618AOC,1423081,US,1,1,WNYW,44,,NEW YORK,NY,40.748435,73.985695,,381.000000,367.000000,990,DA,68229,0.000000,0.8,0,0,1,US,24969.3,19465847,24969.3,19465847,24969.3,19465847,,0.887000,0.814000,0.941000,0.922000,0.910000,0.897000,0.883000,0.873000,0.865000,0.864000,0.871000,0.885000,0.859000,0.866000,0.769000,0.875000,0.568000,0.783000,0.317000,0.510000,0.099000,0.357000,0.406000,0.448000,0.480000,0.497000,0.493000,0.469000,0.431000,0.388000,0.702000,0.288000,0.511000,0.395000,0.798000,0.719000,,,,,,,,,,,,,
